NumAgents,SimulationTime,MaxWaitTime,Lambda,AverageCallTime,TotalCalls,AbandonedCalls,Utilization
4,1440,5,0.5,9,942,358,89.86
7,1440,15,1,5,2578,360,98.94
3,1440,10,0.5,7,1019,365,97.11
1,1440,15,0.5,3,939,366,98.12
4,1440,10,1,3,2516,366,94.41
3,1440,10,0.5,9,914,381,98.56
1,1440,5,0.5,3,924,387,85.21
3,1440,15,0.5,9,897,393,98.84
1,1440,10,0.5,3,923,403,95.56
10,1440,10,1,7,2565,409,98.07
10,1440,5,1.5,3,5182,422,85.26
3,1440,5,0.5,7,994,430,91.34
9,1440,10,1,7,2381,433,97.59
7,1440,5,1,5,2470,469,88.97
3,1440,5,0.5,9,934,470,92.96
10,1440,5,1,7,2591,476,92.99
2,1440,10,0.5,7,905,479,99.1
6,1440,10,1,5,2360,488,98.51
2,1440,15,0.5,7,951,506,99.55
9,1440,15,1,7,2532,548,98.36
4,1440,5,1,3,2470,550,89.81
9,1440,5,1.5,3,4979,553,85.83
8,1440,10,1,7,2364,578,98.59
1,1440,15,0.5,5,891,583,100.21
2,1440,5,0.5,7,970,585,94.65
9,1440,5,1,7,2512,597,95.09
2,1440,10,0.5,9,942,607,98.47
1,1440,5,0.5,5,933,609,93.06
2,1440,5,0.5,9,924,613,96.11
1,1440,10,0.5,5,926,619,97.99
1,1440,10,0.5,7,895,646,101.6
2,1440,15,0.5,9,979,658,100.9
1,1440,5,0.5,7,888,673,94.38
7,1440,15,1,7,2313,688,100.2
3,1440,10,1,3,2415,688,98.45
10,1440,15,1,9,2469,690,100.14
1,1440,5,0.5,9,861,693,97.85
8,1440,15,1,7,2513,700,100.27
3,1440,15,1,3,2440,710,99.63
1,1440,10,0.5,9,889,714,100.63
1,1440,15,0.5,7,957,718,99.86
8,1440,10,1.5,3,5061,719,97.21
6,1440,15,1,5,2594,771,99.65
1,1440,15,0.5,9,956,774,101.39
6,1440,5,1,5,2591,792,94.56
8,1440,5,1.5,3,4877,816,92.18
8,1440,5,1,7,2530,840,95.83
7,1440,5,1,7,2345,846,95.79
5,1440,10,1,5,2379,848,99.28
3,1440,5,1,3,2437,863,93.52
9,1440,5,1,9,2388,875,98.02
10,1440,5,1,9,2560,894,97.89
10,1440,10,1,9,2633,912,99.78
5,1440,5,1,5,2460,912,97.47
7,1440,10,1,7,2504,917,98.75
7,1440,15,1.5,3,4861,926,98.61
9,1440,15,1,9,2536,933,100.22
9,1440,10,1,9,2482,934,99.96
5,1440,15,1,5,2557,936,99.81
7,1440,10,1.5,3,5083,1031,98.85
8,1440,15,1,9,2450,1059,100.4
6,1440,10,1,7,2402,1111,99.75
8,1440,5,1,9,2526,1129,99.14
6,1440,15,1,7,2530,1164,99.93
4,1440,10,1,5,2526,1167,99.72
6,1440,5,1,7,2461,1192,98.18
7,1440,5,1.5,3,5043,1194,94.13
4,1440,15,1,5,2514,1211,100.03
8,1440,10,1,9,2580,1218,100.05
7,1440,15,1,9,2431,1237,100.24
2,1440,15,1,3,2448,1267,99.72
7,1440,10,1,9,2551,1320,99.98
4,1440,5,1,5,2466,1330,98.99
2,1440,10,1,3,2463,1337,99.69
5,1440,10,1,7,2469,1342,99.94
7,1440,5,1,9,2515,1342,99.41
2,1440,5,1,3,2443,1344,98.02
6,1440,10,1,9,2411,1377,100.49
6,1440,5,1,9,2416,1391,99.2
4,1440,15,1,7,2304,1432,100.42
6,1440,15,1.5,3,4945,1446,100
6,1440,15,1,9,2454,1478,100.58
3,1440,5,1,5,2402,1482,98.73
3,1440,15,1,5,2471,1486,99.98
5,1440,5,1,7,2624,1487,99.4
3,1440,10,1,5,2474,1490,99.84
5,1440,15,1,7,2665,1496,100.67
5,1440,15,1,9,2435,1579,100.17
6,1440,10,1.5,3,5143,1626,99.81
4,1440,10,1,7,2530,1636,100.38
5,1440,10,1,9,2509,1652,100.44
5,1440,5,1,9,2511,1667,100
6,1440,5,1.5,3,4994,1692,97.62
3,1440,10,1,7,2413,1698,100.3
4,1440,5,1,7,2579,1704,99.15
3,1440,15,1,7,2455,1724,100.86
4,1440,10,1,9,2387,1732,100.36
3,1440,15,1,9,2314,1739,100.35
4,1440,15,1,9,2461,1777,100.23
10,1440,10,1.5,5,5095,1777,99.56
2,1440,15,1,5,2413,1782,100.31
2,1440,10,1,5,2494,1809,100.07
4,1440,5,1,9,2477,1822,100.54
2,1440,15,1,7,2309,1833,100.59
2,1440,5,1,5,2488,1846,99.86
1,1440,10,1,3,2422,1850,99.93
3,1440,5,1,7,2498,1859,99.88
5,1440,15,1.5,3,4735,1861,100.01
10,1440,5,1.5,5,5114,1884,98.85
1,1440,15,1,3,2509,1920,100.35
1,1440,5,1,3,2509,1950,98.82
10,1440,15,1.5,5,5206,1953,100.29
2,1440,5,1,9,2341,1987,100.03
3,1440,10,1,9,2530,2007,100.86
9,1440,5,1.5,5,4948,2017,98.63
9,1440,10,1.5,5,4755,2027,99.85
2,1440,10,1,7,2503,2082,100.21
3,1440,5,1,9,2614,2083,100.76
2,1440,10,1,9,2473,2127,100.52
2,1440,5,1,7,2596,2132,100.49
1,1440,15,1,7,2401,2140,99.93
1,1440,10,1,5,2469,2146,100.07
1,1440,5,1,7,2369,2148,99.79
2,1440,15,1,9,2501,2175,99.93
5,1440,10,1.5,3,5111,2175,99.75
1,1440,10,1,9,2381,2179,100.56
1,1440,15,1,5,2547,2196,100.63
1,1440,5,1,5,2544,2225,99.86
1,1440,15,1,9,2454,2237,100.28
1,1440,10,1,7,2496,2254,100
8,1440,10,1.5,5,4908,2265,99.96
4,1440,15,1.5,3,4698,2281,100.17
8,1440,5,1.5,5,4923,2304,99.83
1,1440,5,1,9,2524,2306,99.79
5,1440,5,1.5,3,5070,2308,98.54
9,1440,15,1.5,5,5311,2420,100.03
7,1440,10,1.5,5,4732,2440,100.29
4,1440,5,1.5,3,4859,2466,98.94
8,1440,15,1.5,5,5059,2505,100.54
10,1440,5,1.5,7,4831,2647,100.22
10,1440,10,1.5,7,4847,2676,100.35
9,1440,5,1.5,7,4816,2777,100.58
7,1440,5,1.5,5,5030,2794,99.82
